m/z,abs_intensity
15.1,4714
16.05,4709
17.05,37798
18.05,180375
19.1,1519
20.1,828
24.05,734
25,4473
26.05,15344
27.05,36798
28,100674
29,11807
30,2225
31,35583
32,38602
36,6260
37,40882
38,126185
39,38625
39.95,4808
41.05,6227
42.05,3473
43.05,7998
43.95,7099
45,19722
46,7598
47,450
48,3593
49,38670
50,309839
51,400782
52.05,20002
53.1,1454
54,681
55.05,4235
56.05,1708
57.05,3026
58.1,306
59,479
60.05,3140
61,8974
62,10191
63,3959
64,670
65.1,1150
66.1,524
67.1,977
68,510
69.05,1253
70.15,1092
71.05,3444
72,3335
73,32086
74,104354
75,78799
76.05,57295
77.05,1355400
78.05,134489
78.95,50112
79.95,4597
80.9,8327
82,4556
82.95,1257
84.05,696
85,977
86,433
87,1121
88,386
89,623
90,273
91,2092
91.95,506
92.9,1610
94.05,1410
95,1561
96,1759
97,1303
98,526
99,570
100,470
101,535
102,359
102.95,612
103.9,2897
105,2522
105.95,2748
107,2462
108,703
109,470
110.2,351
111.15,1059
112.2,519
113.2,434
113.9,218
114.95,1362
115.95,1769
116.95,3765
117.9,1577
118.9,3415
119.9,476
120.9,554
121.9,201
124.9,393
125.9,438
127.05,574
127.95,3087
129,3785
130,3055
131,3414
132.1,586
133.05,1622
134.1,458
135.1,540
136.1,254
137.1,345
138.1,270
139.1,526
140,351
141,2242
142,630
142.95,2366
144,372
145,548
146,220
147.15,1360
148.1,423
149.1,356
150.1,223
151.1,399
152.05,954
153.1,756
154.05,724
155,3414
156,618705
157,46186
157.95,612988
158.95,41141
160.05,1473
161,969
162,345
163,463
164,300
165,926
166,271
167,326
168,350
169,494
172,302
173,289
175,318
177,434
178,375
179,458
180,266
181,476
182,249
183,348
184,295
185,356
186,281
188,321
189,510
190,367
191.05,1045
192,326
193,586
194,306
194.9,694
198.9,378
