Red 40 Standard,
4.09 x 10-5 M,
Absorbance:209,
200,0.09
201,0.09
202,0.37
203,1.44
204,0
205,0.36
206,-0.12
207,0
208,0.12
209,0
210,0
211,0.09
212,0
213,0.48
214,0
215,1.11
216,0.38
217,0.48
218,0.21
219,0.82
220,0.25
221,0.47
222,0.44
223,0.05
224,0
225,0
226,0.2
227,0.17
228,0.27
229,0.26
230,0.22
231,0.24
232,0.39
233,0.21
234,0.24
235,0.28
236,0.3
237,0.2
238,0.23
239,0.44
240,0.29
241,0.24
242,0.15
243,0.18
244,0.23
245,0.21
246,0.52
247,0.36
248,0.19
249,0.13
250,0.29
251,0.21
252,0.11
253,0.15
254,0.13
255,0.22
256,0.21
257,0.18
258,0.17
259,0.15
260,0.27
261,0.31
262,0.23
263,0.15
264,0.22
265,0.28
266,0.09
267,0.3
268,0.2
269,0.2
270,0.16
271,0.27
272,0.14
273,0.22
274,0.19
275,0.14
276,0.19
277,0.17
278,0.13
279,0.19
280,0.16
281,0.2
282,0.2
283,0.18
284,0.17
285,0.27
286,0.2
287,0.21
288,0.25
289,0.27
290,0.26
291,0.25
292,0.26
293,0.28
294,0.27
295,0.29
296,0.3
297,0.31
298,0.31
299,0.31
300,0.32
301,0.33
302,0.34
303,0.35
304,0.36
305,0.37
306,0.38
307,0.38
308,0.38
309,0.39
310,0.39
311,0.4
312,0.41
313,0.41
314,0.41
315,0.41
316,0.4
317,0.4
318,0.39
319,0.39
320,0.38
321,0.37
322,0.36
323,0.35
324,0.33
325,0.32
326,0.3
327,0.28
328,0.27
329,0.25
330,0.23
331,0.22
332,0.21
333,0.19
334,0.14
335,0.1
336,0.11
337,0.1
338,0.1
339,0.08
340,0.06
341,0.05
342,0.04
343,0.02
344,0.02
345,0.02
346,0.01
347,0.01
348,0.01
349,0.02
350,0.02
351,0.01
352,0.01
353,0.01
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0.01
366,0.02
367,0.01
368,0.01
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0.04
457,0.04
458,0.04
459,0.05
460,0.05
461,0.03
462,0.08
463,0.08
464,0.08
465,0.05
466,0.07
467,0.12
468,0.13
469,0.16
470,0.19
471,0.21
472,0.22
473,0.23
474,0.24
475,0.24
476,0.26
477,0.3
478,0.31
479,0.32
480,0.32
481,0.32
482,0.33
483,0.35
484,0.34
485,0.33
486,0.32
487,0.33
488,0.36
489,0.37
490,0.38
491,0.38
492,0.38
493,0.38
494,0.37
495,0.38
496,0.34
497,0.37
498,0.38
499,0.39
500,0.4
501,0.38
502,0.39
503,0.38
504,0.39
505,0.39
506,0.4
507,0.41
508,0.41
509,0.42
510,0.41
511,0.41
512,0.41
513,0.41
514,0.41
515,0.42
516,0.4
517,0.4
518,0.4
519,0.38
520,0.39
521,0.38
522,0.37
523,0.36
524,0.34
525,0.34
526,0.32
527,0.31
528,0.3
529,0.27
530,0.26
531,0.25
532,0.23
533,0.2
534,0.18
535,0.17
536,0.16
537,0.14
538,0.11
539,0.09
540,0.09
541,0.07
542,0.06
543,0.05
544,0.02
545,0.01
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,0
809,0
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,0
828,0
829,0
830,0
831,0
832,0
833,0
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,0
848,0
849,0
850,0
