symbol,AN,row,block,state
H,1,1,s,gas
He,2,1,s,gas
Li,3,2,s,solid
Be,4,2,s,solid
B,5,2,p,solid
C,6,2,p,solid
N,7,2,p,gas
O,8,2,p,gas
F,9,2,p,gas
Ne,10,2,p,gas
Na,11,3,s,solid
Mg,12,3,s,solid
Al,13,3,p,solid
Si,14,3,p,solid
P,15,3,p,solid
S,16,3,p,solid
Cl,17,3,p,gas
Ar,18,3,p,gas
K,19,4,s,solid
Ca,20,4,s,solid
Sc,21,4,d,solid
Ti,22,4,d,solid
V,23,4,d,solid
Cr,24,4,d,solid
Mn,25,4,d,solid
Fe,26,4,d,solid
Co,27,4,d,solid
Ni,28,4,d,solid
Cu,29,4,d,solid
Zn,30,4,d,solid
Ga,31,4,p,solid
Ge,32,4,p,solid
As,33,4,p,solid
Se,34,4,p,solid
Br,35,4,p,liquid
Kr,36,4,p,gas
Rb,37,5,s,solid
Sr,38,5,s,solid
Y,39,5,d,solid
Zr,40,5,d,solid
Nb,41,5,d,solid
Mo,42,5,d,solid
Tc,43,5,d,solid
Ru,44,5,d,solid
Rh,45,5,d,solid
Pd,46,5,d,solid
Ag,47,5,d,solid
Cd,48,5,d,solid
In,49,5,p,solid
Sn,50,5,p,solid
Sb,51,5,p,solid
Te,52,5,p,solid
I,53,5,p,solid
Xe,54,6,p,gas
Cs,55,6,s,solid
Ba,56,6,s,solid
La,57,6,d,solid
Ce,58,6,f,solid
Pr,59,6,f,solid
Nd,60,6,f,solid
Pm,61,6,f,solid
Sm,62,6,f,solid
Eu,63,6,f,solid
Gd,64,6,f,solid
Tb,65,6,f,solid
Dy,66,6,f,solid
Ho,67,6,f,solid
Er,68,6,f,solid
Tm,69,6,f,solid
Yb,70,6,f,solid
Lu,71,6,f,solid
Hf,72,6,d,solid
Ta,73,6,d,solid
W,74,6,d,solid
Re,75,6,d,solid
Os,76,6,d,solid
Ir,77,6,d,solid
Pt,78,6,d,solid
Au,79,6,d,solid
Hg,80,6,d,liquid
Tl,81,6,d,solid
Pb,82,6,d,solid
Bi,83,6,d,solid
Po,84,6,d,solid
At,85,6,d,solid
Rn,86,6,d,gas
Fr,87,7,s,solid
Ra,88,7,s,solid
Ac,89,7,d,solid
Th,90,7,f,solid
Pa,91,7,f,solid
U,92,7,f,solid
Np,93,7,f,solid
Pu,94,7,f,solid
Am,95,7,f,solid
Cm,96,7,f,solid
Bk,97,7,f,solid
Cf,98,7,f,solid
Es,99,7,f,solid
Fm,100,7,f,solid
Md,101,7,f,solid
No,102,7,f,solid
Lr,103,7,f,solid
Rf,104,7,d,solid
