bp,MW,type
65,32.04,alcohol
78,46.07,alcohol
98,60.1,alcohol
118,74.12,alcohol
139,88.15,alcohol
157,102.18,alcohol
176,116.2,alcohol
195,130.23,alcohol
212,144.25,alcohol
232,158.28,alcohol
36,72.15,alkane
69,86.18,alkane
98,100.21,alkane
126,114.23,alkane
151,128.26,alkane
174,142.29,alkane
196,156.31,alkane
216,170.34,alkane
63,86.18,alkane
117,114.23,alkane
28,72.15,alkane
80,100.21,alkane
108,74.12,alcohol
83,74.12,alcohol
131,88.15,alcohol
135,102.18,alcohol
140,116.2,alcohol
182,94.11,alcohol
202,108.14,alcohol
220,136.19,alcohol
