bp,MW,carbons,degree,aliphatic,avg_aryl_position,cyclic
338,32.04,1,1,1,0,0
351,46.07,2,1,1,0,0
371,60.1,3,1,1,0,0
356,60.1,3,2,1,0,0
391,74.12,4,1,1,0,0
372,74.12,4,2,1,0,0
381,74.12,4,1,1,0,0
355,74.12,4,3,1,0,0
411,88.15,5,1,1,0,0
404,88.15,5,1,1,0,0
401,88.15,5,1,1,0,0
386,88.15,5,1,1,0,0
388,88.15,5,2,1,0,0
392,88.15,5,2,1,0,0
385,88.15,5,2,1,0,0
375,88.15,5,3,1,0,0
430,102.18,6,1,1,0,0
413,102.18,6,2,1,0,0
408,102.18,6,2,1,0,0
420,102.18,6,1,1,0,0
425,102.18,6,1,1,0,0
424,102.18,6,1,1,0,0
395,102.18,6,3,1,0,0
394,102.18,6,3,1,0,0
407,102.18,6,2,1,0,0
405,102.18,6,2,1,0,0
399,102.18,6,2,1,0,0
410,102.18,6,1,1,0,0
416,102.18,6,1,1,0,0
393,102.18,6,2,1,0,0
419,102.18,6,1,1,0,0
415,102.18,6,1,1,0,0
449,116.2,7,1,1,0,0
432,116.2,7,2,1,0,0
426,116.2,7,2,1,0,0
428,116.2,7,2,1,0,0
413,116.2,7,3,1,0,0
411,116.2,7,2,1,0,0
409,116.2,7,2,1,0,0
405,116.2,7,3,1,0,0
446,116.2,7,1,1,0,0
427,116.2,7,1,1,0,0
468,130.23,8,1,1,0,0
456,130.23,8,1,1,0,0
453,130.23,8,1,1,0,0
427,130.23,8,2,1,0,0
485,144.25,9,1,1,0,0
469,144.25,9,2,1,0,0
505,158.28,10,1,1,0,0
484,158.28,10,2,1,0,0
503,172.31,11,2,1,0,0
534,186.33,12,1,1,0,0
455,94.11,6,2,0,0,1
475,108.14,7,2,0,4,1
475,108.14,7,2,0,3,1
464,108.14,7,2,0,2,1
476,122.17,8,2,0,4,1
485,122.17,8,2,0,3.5,1
485,122.17,8,2,0,3,1
490,122.17,8,2,0,2.5,1
500,122.17,8,2,0,3.5,1
495,122.17,8,2,0,4,1
493,136.19,9,2,0,6,1
491,122.16,8,2,0,4,1
505,136.19,9,2,0,4,1
486,136.19,9,2,0,4,1
510,150.22,10,2,0,4,1
435,100.15,6,2,1,0,1
438,114.19,7,2,0,0,1
445,114.19,7,2,0,0,1
436,114.19,7,2,0,0,1
412,86.13,5,2,1,0,1
